Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,in/s pk
Speed Unit,rpm
Variable,Velocity pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/23/2025 11:37:03 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:37:11 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:37:14 AM,0.012,Valid,,,N/A,N/A
1/23/2025 11:37:19 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:37:22 AM,0.011,Valid,,,N/A,N/A
1/23/2025 11:37:30 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:37:37 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:37:44 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:37:47 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:37:50 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:37:54 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:38:00 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:38:05 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:09 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:14 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:38:19 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:23 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:38:26 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:29 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:38:37 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:38:38 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:38:50 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:38:51 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:38:55 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:39:01 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:39:07 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:39:10 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:39:13 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:39:21 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:39:25 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:36 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:39:40 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:41 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:39:48 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:55 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:39:59 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:40:07 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:40:14 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:40:19 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:40:23 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:27 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:40:36 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:40:40 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:40:49 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:50 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:55 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:41:02 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:41:09 AM,0.002,Valid,,,N/A,N/A
